const,Do Not Email,Lead Origin_Lead Add Form,Lead Source_Welingak Website,What is your current occupation_Unemployed,Tags_Busy,Tags_Closed by Horizzon,Tags_Lost to EINS,Tags_Ringing,Tags_Will revert after reading the email,Tags_switched off,Lead Quality_Not Sure,Lead Quality_Worst,Last Notable Activity_SMS Sent
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,1,0,0,0,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,1,0,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,1
1.0,0,0,0,1,0,0,1,0,0,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,1,0,0,0,0,0,1,0,1
1.0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0,0,0,1,0,0,0,1,0,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.0,0,0,0,1,0,0,0,0,0,1,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,1,0,0,1,0,1
1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,0,0,0,1,1,0,0,0,0,0,1,0,0
1.0,0,0,0,1,0,0,1,0,0,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.0,0,0,0,1,0,0,0,0,1,0,1,0,0
1.0,1,0,0,1,0,0,0,0,1,0,1,0,0
